# Benchmark Image Composition
# Core utilizzati:,8
# Data:,2025-07-03 14:28:39

Num_Immagini,Metodo,Tempo_Secondi,Speedup,Throughput_ImgSec
50,Sequential,192.740,1.00,0.3
50,Joblib,86.791,2.22,0.6
50,Pool,64.425,2.99,0.8
50,Processes,60.567,3.18,0.8
100,Sequential,372.192,1.00,0.3
100,Joblib,170.412,2.18,0.6
100,Pool,110.387,3.37,0.9
100,Processes,101.523,3.67,1.0
500,Sequential,1851.381,1.00,0.3
500,Joblib,774.808,2.39,0.6
500,Pool,446.611,4.15,1.1
500,Processes,449.647,4.12,1.1
