version,num_points,k,threads,time_ms,sse
parallel,150000,75,6,8314.86,3.28726e+08
sequential,150000,75,1,27840.7,3.28726e+08
parallel,150000,75,6,8314.49,3.28726e+08
sequential,150000,75,1,27694.3,3.28726e+08
parallel,150000,75,6,7523.54,3.28726e+08
sequential,150000,75,1,27382.3,3.28726e+08
parallel,150000,75,6,8299.78,3.28726e+08
sequential,150000,75,1,27358.4,3.28726e+08
parallel,150000,75,6,8846.87,3.28726e+08
sequential,150000,75,1,27402.3,3.28726e+08
parallel,150000,75,8,6940.31,3.28726e+08
sequential,150000,75,1,27382.2,3.28726e+08
parallel,150000,75,8,8006.58,3.28726e+08
sequential,150000,75,1,27369.5,3.28726e+08
parallel,150000,75,8,6932.19,3.28726e+08
sequential,150000,75,1,27455.1,3.28726e+08
parallel,150000,75,8,7178.82,3.28726e+08
sequential,150000,75,1,27608.5,3.28726e+08
parallel,150000,75,8,7268.9,3.28726e+08
sequential,200000,100,1,84166.3,3.27552e+08
parallel,200000,100,1,90303.8,3.27552e+08
sequential,200000,100,1,84735.6,3.27552e+08
parallel,200000,100,1,90109.5,3.27552e+08
sequential,200000,100,1,83599,3.27552e+08
parallel,200000,100,1,89823.9,3.27552e+08
sequential,200000,100,1,87183.5,3.27552e+08
parallel,200000,100,1,95188.1,3.27552e+08
sequential,200000,100,1,83347.5,3.27552e+08
parallel,200000,100,1,89877.3,3.27552e+08
sequential,200000,100,1,95705.6,3.27552e+08
parallel,200000,100,2,56809.1,3.27552e+08
sequential,200000,100,1,85191.6,3.27552e+08
parallel,200000,100,2,50916.6,3.27552e+08
sequential,200000,100,1,92057.7,3.27552e+08
parallel,200000,100,2,44395.7,3.27552e+08
sequential,200000,100,1,83751.5,3.27552e+08
parallel,200000,100,2,45010.8,3.27552e+08
sequential,200000,100,1,83893.9,3.27552e+08
parallel,200000,100,2,44502.2,3.27552e+08
sequential,200000,100,1,83393.8,3.27552e+08
parallel,200000,100,4,28156.4,3.27552e+08
sequential,200000,100,1,83629,3.27552e+08
parallel,200000,100,4,28682.2,3.27552e+08
sequential,200000,100,1,83904.6,3.27552e+08
parallel,200000,100,4,30168.4,3.27552e+08
sequential,200000,100,1,86391.3,3.27552e+08
parallel,200000,100,4,30662.9,3.27552e+08
sequential,200000,100,1,84840,3.27552e+08
parallel,200000,100,4,28276.9,3.27552e+08
sequential,200000,100,1,84347.1,3.27552e+08
parallel,200000,100,6,23460.5,3.27552e+08
sequential,200000,100,1,83570.8,3.27552e+08
parallel,200000,100,6,24247.6,3.27552e+08
sequential,200000,100,1,83450,3.27552e+08
parallel,200000,100,6,23400.1,3.27552e+08
sequential,200000,100,1,83359.6,3.27552e+08
parallel,200000,100,6,23281.9,3.27552e+08
sequential,200000,100,1,83435.7,3.27552e+08
parallel,200000,100,6,23297.8,3.27552e+08
sequential,200000,100,1,83428.2,3.27552e+08
parallel,200000,100,8,19698.2,3.27552e+08
sequential,200000,100,1,83424.5,3.27552e+08
parallel,200000,100,8,19635.5,3.27552e+08
sequential,200000,100,1,83408.8,3.27552e+08
parallel,200000,100,8,19656.2,3.27552e+08
sequential,200000,100,1,83423.3,3.27552e+08
parallel,200000,100,8,19669.3,3.27552e+08
sequential,200000,100,1,83427.5,3.27552e+08
parallel,200000,100,8,19606.4,3.27552e+08
sequential,100000,25,1,8072.23,6.60699e+08
parallel,100000,25,1,8422.26,6.60699e+08
sequential,100000,25,1,8037.07,6.60699e+08
parallel,100000,25,1,8534.71,6.60699e+08
sequential,100000,25,1,8219.61,6.60699e+08
parallel,100000,25,1,8785.16,6.60699e+08
sequential,100000,25,1,8249.09,6.60699e+08
parallel,100000,25,1,8533.22,6.60699e+08
sequential,100000,25,1,8146.78,6.60699e+08
parallel,100000,25,1,8770.28,6.60699e+08
sequential,100000,25,1,8079.81,6.60699e+08
parallel,100000,25,2,4177.07,6.60699e+08
sequential,100000,25,1,8052.58,6.60699e+08
parallel,100000,25,2,4184.03,6.60699e+08
sequential,100000,25,1,8033.01,6.60699e+08
parallel,100000,25,2,4173.21,6.60699e+08
sequential,100000,25,1,8024.91,6.60699e+08
parallel,100000,25,2,4175.9,6.60699e+08
sequential,100000,25,1,8037.18,6.60699e+08
parallel,100000,25,2,4172.52,6.60699e+08
sequential,100000,25,1,8053.6,6.60699e+08
parallel,100000,25,4,2582.63,6.60699e+08
sequential,100000,25,1,8052.74,6.60699e+08
parallel,100000,25,4,2569.29,6.60699e+08
sequential,100000,25,1,8033.42,6.60699e+08
parallel,100000,25,4,2571.56,6.60699e+08
sequential,100000,25,1,8063.76,6.60699e+08
parallel,100000,25,4,2575.92,6.60699e+08
sequential,100000,25,1,8052.65,6.60699e+08
parallel,100000,25,4,2616.03,6.60699e+08
sequential,100000,25,1,8033.89,6.60699e+08
parallel,100000,25,8,1914.83,6.60699e+08
sequential,100000,25,1,8062.07,6.60699e+08
parallel,100000,25,8,1930.84,6.60699e+08
sequential,100000,25,1,8044.75,6.60699e+08
parallel,100000,25,8,1919.62,6.60699e+08
sequential,100000,25,1,8053.18,6.60699e+08
parallel,100000,25,8,1851.81,6.60699e+08
sequential,100000,25,1,8030.62,6.60699e+08
parallel,100000,25,8,1880.82,6.60699e+08
sequential,100000,25,1,8054.02,6.60699e+08
parallel,100000,25,16,1990.37,6.60699e+08
sequential,100000,25,1,8049.25,6.60699e+08
parallel,100000,25,16,2085.5,6.60699e+08
sequential,100000,25,1,8049.5,6.60699e+08
parallel,100000,25,16,2051.76,6.60699e+08
sequential,100000,25,1,8039.27,6.60699e+08
parallel,100000,25,16,2191.36,6.60699e+08
sequential,100000,25,1,8054.72,6.60699e+08
parallel,100000,25,16,1922.14,6.60699e+08
sequential,100000,25,1,8037.95,6.60699e+08
parallel,100000,25,32,2237.89,6.60699e+08
sequential,100000,25,1,8050,6.60699e+08
parallel,100000,25,32,1943.73,6.60699e+08
sequential,100000,25,1,8102.85,6.60699e+08
parallel,100000,25,32,2336.23,6.60699e+08
sequential,100000,25,1,8050.98,6.60699e+08
parallel,100000,25,32,2150.38,6.60699e+08
sequential,100000,25,1,8027.95,6.60699e+08
parallel,100000,25,32,1990.37,6.60699e+08
sequential,100000,50,1,9374.16,3.32062e+08
parallel,100000,50,1,9932.2,3.32062e+08
sequential,100000,50,1,9595.74,3.32062e+08
parallel,100000,50,1,10064.2,3.32062e+08
sequential,100000,50,1,10060.9,3.32062e+08
parallel,100000,50,1,10338.5,3.32062e+08
sequential,100000,50,1,9395.52,3.32062e+08
parallel,100000,50,1,9964.26,3.32062e+08
sequential,100000,50,1,9461.73,3.32062e+08
parallel,100000,50,1,9937.27,3.32062e+08
sequential,100000,50,1,9343.75,3.32062e+08
parallel,100000,50,2,4928.32,3.32062e+08
sequential,100000,50,1,9348.49,3.32062e+08
parallel,100000,50,2,4927.47,3.32062e+08
sequential,100000,50,1,9341.6,3.32062e+08
parallel,100000,50,2,4930.61,3.32062e+08
sequential,100000,50,1,9350.02,3.32062e+08
parallel,100000,50,2,4924.79,3.32062e+08
sequential,100000,50,1,9363.95,3.32062e+08
parallel,100000,50,2,4926.5,3.32062e+08
sequential,100000,50,1,9362.84,3.32062e+08
parallel,100000,50,4,3052.02,3.32062e+08
sequential,100000,50,1,9361.34,3.32062e+08
parallel,100000,50,4,3044.36,3.32062e+08
sequential,100000,50,1,9364.12,3.32062e+08
parallel,100000,50,4,3045.6,3.32062e+08
sequential,100000,50,1,9428.77,3.32062e+08
parallel,100000,50,4,3054.98,3.32062e+08
sequential,100000,50,1,9364.34,3.32062e+08
parallel,100000,50,4,3052,3.32062e+08
sequential,100000,50,1,9364.28,3.32062e+08
parallel,100000,50,8,2213.37,3.32062e+08
sequential,100000,50,1,9343.75,3.32062e+08
parallel,100000,50,8,2221.01,3.32062e+08
sequential,100000,50,1,9358.61,3.32062e+08
parallel,100000,50,8,2271.16,3.32062e+08
sequential,100000,50,1,9363.21,3.32062e+08
parallel,100000,50,8,2300.79,3.32062e+08
sequential,100000,50,1,9345.64,3.32062e+08
parallel,100000,50,8,2232.79,3.32062e+08
sequential,100000,50,1,9360.66,3.32062e+08
parallel,100000,50,16,2455.58,3.32062e+08
sequential,100000,50,1,9361.58,3.32062e+08
parallel,100000,50,16,2355.93,3.32062e+08
sequential,100000,50,1,9372.17,3.32062e+08
parallel,100000,50,16,2405.05,3.32062e+08
sequential,100000,50,1,9342.18,3.32062e+08
parallel,100000,50,16,2387.01,3.32062e+08
sequential,100000,50,1,9360.03,3.32062e+08
parallel,100000,50,16,2526.39,3.32062e+08
sequential,100000,50,1,9350.03,3.32062e+08
parallel,100000,50,32,2513.11,3.32062e+08
sequential,100000,50,1,9364.09,3.32062e+08
parallel,100000,50,32,2355.01,3.32062e+08
sequential,100000,50,1,9367.26,3.32062e+08
parallel,100000,50,32,2518.85,3.32062e+08
sequential,100000,50,1,9346.79,3.32062e+08
parallel,100000,50,32,2434.14,3.32062e+08
sequential,100000,50,1,9363.52,3.32062e+08
parallel,100000,50,32,2347.17,3.32062e+08
sequential,100000,100,1,32284.6,1.63657e+08
parallel,100000,100,1,34636.5,1.63657e+08
sequential,100000,100,1,32284.4,1.63657e+08
parallel,100000,100,1,34637.8,1.63657e+08
sequential,100000,100,1,32292.5,1.63657e+08
parallel,100000,100,1,34633.3,1.63657e+08
sequential,100000,100,1,32259.4,1.63657e+08
parallel,100000,100,1,34638.3,1.63657e+08
sequential,100000,100,1,32269,1.63657e+08
parallel,100000,100,1,34639.1,1.63657e+08
sequential,100000,100,1,32942.1,1.63657e+08
parallel,100000,100,2,17683.8,1.63657e+08
sequential,100000,100,1,32331.6,1.63657e+08
parallel,100000,100,2,17275.8,1.63657e+08
sequential,100000,100,1,33987.3,1.63657e+08
parallel,100000,100,2,18801.4,1.63657e+08
sequential,100000,100,1,32414.6,1.63657e+08
parallel,100000,100,2,17222.6,1.63657e+08
sequential,100000,100,1,32277,1.63657e+08
parallel,100000,100,2,17170.2,1.63657e+08
sequential,100000,100,1,32297.2,1.63657e+08
parallel,100000,100,4,10825.4,1.63657e+08
sequential,100000,100,1,32292.2,1.63657e+08
parallel,100000,100,4,10820.6,1.63657e+08
sequential,100000,100,1,32364,1.63657e+08
parallel,100000,100,4,10804.7,1.63657e+08
sequential,100000,100,1,32270.2,1.63657e+08
parallel,100000,100,4,11682.2,1.63657e+08
sequential,100000,100,1,32275.1,1.63657e+08
parallel,100000,100,4,10865.1,1.63657e+08
sequential,100000,100,1,32272.9,1.63657e+08
parallel,100000,100,8,7905.66,1.63657e+08
sequential,100000,100,1,32372,1.63657e+08
parallel,100000,100,8,7737.27,1.63657e+08
sequential,100000,100,1,32281.6,1.63657e+08
parallel,100000,100,8,7639.22,1.63657e+08
sequential,100000,100,1,32303.9,1.63657e+08
parallel,100000,100,8,7948.17,1.63657e+08
sequential,100000,100,1,32316.4,1.63657e+08
parallel,100000,100,8,7761.66,1.63657e+08
sequential,100000,100,1,32593.2,1.63657e+08
parallel,100000,100,16,8260.16,1.63657e+08
sequential,100000,100,1,32288.2,1.63657e+08
parallel,100000,100,16,8264.16,1.63657e+08
sequential,100000,100,1,32334.4,1.63657e+08
parallel,100000,100,16,8206.69,1.63657e+08
sequential,100000,100,1,32262.4,1.63657e+08
parallel,100000,100,16,8360.26,1.63657e+08
sequential,100000,100,1,32337.1,1.63657e+08
parallel,100000,100,16,8459.57,1.63657e+08
sequential,100000,100,1,32282.9,1.63657e+08
parallel,100000,100,32,8367.05,1.63657e+08
sequential,100000,100,1,32279.3,1.63657e+08
parallel,100000,100,32,8519,1.63657e+08
sequential,100000,100,1,32300.6,1.63657e+08
parallel,100000,100,32,8621.08,1.63657e+08
sequential,100000,100,1,32286.3,1.63657e+08
parallel,100000,100,32,8647.73,1.63657e+08
sequential,100000,100,1,32276.2,1.63657e+08
parallel,100000,100,32,8626.56,1.63657e+08
sequential,500000,50,1,66595.5,1.66644e+09
parallel,500000,50,1,70521.6,1.66644e+09
sequential,500000,50,1,66609.2,1.66644e+09
parallel,500000,50,1,70545.6,1.66644e+09
sequential,500000,50,1,66454.8,1.66644e+09
parallel,500000,50,1,70539.8,1.66644e+09
sequential,500000,50,1,66529.1,1.66644e+09
parallel,500000,50,1,70546.2,1.66644e+09
sequential,500000,50,1,67223,1.66644e+09
parallel,500000,50,1,70691.7,1.66644e+09
sequential,500000,50,1,66644.3,1.66644e+09
parallel,500000,50,2,34975.6,1.66644e+09
sequential,500000,50,1,66668.1,1.66644e+09
parallel,500000,50,2,34883,1.66644e+09
sequential,500000,50,1,66452.1,1.66644e+09
parallel,500000,50,2,34880.2,1.66644e+09
sequential,500000,50,1,66456.2,1.66644e+09
parallel,500000,50,2,34885.4,1.66644e+09
sequential,500000,50,1,67159.9,1.66644e+09
parallel,500000,50,2,35585.3,1.66644e+09
sequential,500000,50,1,69591.3,1.66644e+09
parallel,500000,50,4,31507,1.66644e+09
sequential,500000,50,1,69066.9,1.66644e+09
parallel,500000,50,4,22136.5,1.66644e+09
sequential,500000,50,1,66723,1.66644e+09
parallel,500000,50,4,22083.3,1.66644e+09
sequential,500000,50,1,66674.4,1.66644e+09
parallel,500000,50,4,22004.2,1.66644e+09
sequential,500000,50,1,67186.5,1.66644e+09
parallel,500000,50,4,22849,1.66644e+09
sequential,500000,50,1,66463.6,1.66644e+09
parallel,500000,50,8,15134.4,1.66644e+09
sequential,500000,50,1,66651.6,1.66644e+09
parallel,500000,50,8,15118.8,1.66644e+09
sequential,500000,50,1,66422.4,1.66644e+09
parallel,500000,50,8,15094.1,1.66644e+09
sequential,500000,50,1,66690.8,1.66644e+09
parallel,500000,50,8,14990.7,1.66644e+09
sequential,500000,50,1,66905.5,1.66644e+09
parallel,500000,50,8,15980.6,1.66644e+09
sequential,500000,50,1,67628.1,1.66644e+09
parallel,500000,50,16,16026,1.66644e+09
sequential,500000,50,1,66656.6,1.66644e+09
parallel,500000,50,16,19073,1.66644e+09
sequential,500000,50,1,67301.8,1.66644e+09
parallel,500000,50,16,18663.3,1.66644e+09
sequential,500000,50,1,66961.7,1.66644e+09
parallel,500000,50,16,16849.7,1.66644e+09
sequential,500000,50,1,67417.2,1.66644e+09
parallel,500000,50,16,16994.2,1.66644e+09
sequential,500000,50,1,66845.1,1.66644e+09
parallel,500000,50,32,16512.1,1.66644e+09
sequential,500000,50,1,67191.8,1.66644e+09
parallel,500000,50,32,16490.1,1.66644e+09
sequential,500000,50,1,66911,1.66644e+09
parallel,500000,50,32,16443.5,1.66644e+09
sequential,500000,50,1,66984,1.66644e+09
parallel,500000,50,32,16232.7,1.66644e+09
sequential,500000,50,1,66851.2,1.66644e+09
parallel,500000,50,32,17255,1.66644e+09
sequential,500000,100,1,164725,8.2202e+08
parallel,500000,100,2,87399.8,8.2202e+08
sequential,500000,100,1,164689,8.2202e+08
parallel,500000,100,2,96276.2,8.2202e+08
sequential,500000,100,1,164477,8.2202e+08
parallel,500000,100,2,87410.1,8.2202e+08
sequential,500000,100,1,164487,8.2202e+08
parallel,500000,100,2,87490.1,8.2202e+08
sequential,500000,100,1,164982,8.2202e+08
parallel,500000,100,2,87582.4,8.2202e+08
sequential,500000,100,1,164639,8.2202e+08
parallel,500000,100,4,55298,8.2202e+08
sequential,500000,100,1,164614,8.2202e+08
parallel,500000,100,4,55106,8.2202e+08
sequential,500000,100,1,164631,8.2202e+08
parallel,500000,100,4,55129.5,8.2202e+08
sequential,500000,100,1,164540,8.2202e+08
parallel,500000,100,4,55140.6,8.2202e+08
sequential,500000,100,1,164690,8.2202e+08
parallel,500000,100,4,55183.8,8.2202e+08
sequential,500000,100,1,164519,8.2202e+08
parallel,500000,100,8,38649.8,8.2202e+08
sequential,500000,100,1,164661,8.2202e+08
parallel,500000,100,8,38390.2,8.2202e+08
sequential,500000,100,1,164237,8.2202e+08
parallel,500000,100,8,38404.8,8.2202e+08
sequential,500000,100,1,164439,8.2202e+08
parallel,500000,100,8,38797.3,8.2202e+08
sequential,500000,100,1,165169,8.2202e+08
parallel,500000,100,8,40907.1,8.2202e+08
sequential,500000,100,1,165480,8.2202e+08
parallel,500000,100,16,41993.2,8.2202e+08
sequential,500000,100,1,166456,8.2202e+08
parallel,500000,100,16,41388.8,8.2202e+08
sequential,500000,100,1,165869,8.2202e+08
parallel,500000,100,16,43224.3,8.2202e+08
sequential,500000,100,1,165299,8.2202e+08
parallel,500000,100,16,44303.8,8.2202e+08
sequential,500000,100,1,166252,8.2202e+08
parallel,500000,100,16,43316.2,8.2202e+08
sequential,500000,100,1,165917,8.2202e+08
parallel,500000,100,32,44280.2,8.2202e+08
sequential,500000,100,1,166475,8.2202e+08
parallel,500000,100,32,43898.8,8.2202e+08
sequential,500000,100,1,165844,8.2202e+08
parallel,500000,100,32,43996.2,8.2202e+08
sequential,500000,100,1,165675,8.2202e+08
parallel,500000,100,32,41972.7,8.2202e+08
sequential,500000,100,1,164809,8.2202e+08
parallel,500000,100,32,41397.4,8.2202e+08
